T13,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
233,Estonia,2005,Industry (% of gross value added),29.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2010,Industry (% of gross value added),27.6,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2015,Industry (% of gross value added),27.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2018,Industry (% of gross value added),27.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2019,Industry (% of gross value added),25.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,1995,Services (% of gross value added),64.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2005,Services (% of gross value added),66.6,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2010,Services (% of gross value added),68.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2015,Services (% of gross value added),69.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2018,Services (% of gross value added),70.6,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
233,Estonia,2019,Services (% of gross value added),71.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",11.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.1,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,1995,Industry (% of gross value added),41.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2005,Industry (% of gross value added),40.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2010,Industry (% of gross value added),38.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2015,Industry (% of gross value added),37.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2018,Industry (% of gross value added),34.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2019,Industry (% of gross value added),35.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,1995,Services (% of gross value added),51.0,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2005,Services (% of gross value added),47.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2010,Services (% of gross value added),50.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2015,Services (% of gross value added),52.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2018,Services (% of gross value added),56.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
748,Eswatini,2019,Services (% of gross value added),55.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",45.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",45.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",38.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",32.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",35.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,1995,Industry (% of gross value added),9.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2005,Industry (% of gross value added),13.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2010,Industry (% of gross value added),10.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2015,Industry (% of gross value added),17.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2018,Industry (% of gross value added),28.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2019,Industry (% of gross value added),25.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,1995,Services (% of gross value added),35.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2005,Services (% of gross value added),41.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2010,Services (% of gross value added),44.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2015,Services (% of gross value added),43.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2018,Services (% of gross value added),38.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
231,Ethiopia,2019,Services (% of gross value added),38.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.2,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.2,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,1995,Industry (% of gross value added),17.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2005,Industry (% of gross value added),17.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2010,Industry (% of gross value added),19.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2015,Industry (% of gross value added),19.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2018,Industry (% of gross value added),19.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2019,Industry (% of gross value added),19.6,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,1995,Services (% of gross value added),65.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2005,Services (% of gross value added),69.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2010,Services (% of gross value added),69.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2015,Services (% of gross value added),70.6,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2018,Services (% of gross value added),67.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
242,Fiji,2019,Services (% of gross value added),67.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.6,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.6,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.7,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,1995,Industry (% of gross value added),33.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2005,Industry (% of gross value added),33.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2010,Industry (% of gross value added),29.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2015,Industry (% of gross value added),27.0,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2018,Industry (% of gross value added),27.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2019,Industry (% of gross value added),28.0,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,1995,Services (% of gross value added),62.0,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2005,Services (% of gross value added),63.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2010,Services (% of gross value added),67.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2015,Services (% of gross value added),70.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2018,Services (% of gross value added),69.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
246,Finland,2019,Services (% of gross value added),69.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,1995,Industry (% of gross value added),24.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2005,Industry (% of gross value added),21.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2010,Industry (% of gross value added),19.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2015,Industry (% of gross value added),19.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2018,Industry (% of gross value added),19.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2019,Industry (% of gross value added),19.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,1995,Services (% of gross value added),72.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2005,Services (% of gross value added),76.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2010,Services (% of gross value added),78.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2015,Services (% of gross value added),78.5,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2018,Services (% of gross value added),78.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
250,France,2019,Services (% of gross value added),78.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,1995,Industry (% of gross value added),12.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2005,Industry (% of gross value added),12.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2010,Industry (% of gross value added),12.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2015,Industry (% of gross value added),12.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2018,Industry (% of gross value added),12.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2019,Industry (% of gross value added),11.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,1995,Services (% of gross value added),82.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2005,Services (% of gross value added),83.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2010,Services (% of gross value added),85.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2015,Services (% of gross value added),84.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2018,Services (% of gross value added),84.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
258,French Polynesia,2019,Services (% of gross value added),84.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,1995,Industry (% of gross value added),54.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2005,Industry (% of gross value added),62.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2010,Industry (% of gross value added),59.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2015,Industry (% of gross value added),51.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2018,Industry (% of gross value added),50.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2019,Industry (% of gross value added),49.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,1995,Services (% of gross value added),38.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2005,Services (% of gross value added),32.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2010,Services (% of gross value added),36.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2015,Services (% of gross value added),43.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2018,Services (% of gross value added),43.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
266,Gabon,2019,Services (% of gross value added),45.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",34.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",37.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",24.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",23.7,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",20.1,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,1995,Industry (% of gross value added),12.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2005,Industry (% of gross value added),12.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2010,Industry (% of gross value added),10.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2015,Industry (% of gross value added),18.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2018,Industry (% of gross value added),16.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2019,Industry (% of gross value added),17.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,1995,Services (% of gross value added),64.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2005,Services (% of gross value added),53.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2010,Services (% of gross value added),52.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2015,Services (% of gross value added),56.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
270,Gambia,2018,Services (% of gross value added),59.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
