T13,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2018,Services (% of gross value added),54.6,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
8,Albania,2019,Services (% of gross value added),55.7,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",12.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,1995,Industry (% of gross value added),47.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2005,Industry (% of gross value added),59.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2010,Industry (% of gross value added),51.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2015,Industry (% of gross value added),37.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2018,Industry (% of gross value added),40.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2019,Industry (% of gross value added),39.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,1995,Services (% of gross value added),41.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2005,Services (% of gross value added),32.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2010,Services (% of gross value added),40.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2015,Services (% of gross value added),50.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2018,Services (% of gross value added),47.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2019,Services (% of gross value added),48.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.5,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,1995,Industry (% of gross value added),18.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2005,Industry (% of gross value added),17.7,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2010,Industry (% of gross value added),14.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2015,Industry (% of gross value added),11.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2018,Industry (% of gross value added),12.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
